0, Evgenia MEDVEDEVA; RUS, 233,41
1, Kaetlyn OSMOND; CAN, 218,13
2, Gabrielle DALEMAN; CAN, 213,52
3, Karen CHEN; USA, 199,29
4, Mai MIHARA; JPN, 197,88
5, Carolina KOSTNER; ITA, 196,83
6, Ashley WAGNER; USA, 193,54
7, Maria SOTSKOVA; RUS, 192,20
8, Elizabet TURSYNBAEVA; KAZ, 191,99
9, Dabin CHOI; KOR, 191,11
10, Wakaba HIGUCHI; JPN, 188,05
11, Mariah BELL; USA, 187,23
12, Anna POGORILAYA; RUS, 183,37
13, Xiangning LI; CHN, 175,37
14, Loena HENDRICKX; BEL, 172,82
15, Rika HONGO; JPN, 169,83
16, Nicole RAJICOVA; SVK, 165,55
17, Laurine LECAVELIER; FRA, 162,99
18, Nicole SCHOTT; GER, 161,41
19, Ivett TOTH; HUN, 160,77
20, Zijun LI; CHN, 159,80
21, Angelina KUCHVALSKA; LAT, 155,02
22, Anastasia GALUSTYAN; ARM, 153,47
23, Kailani CRAINE; AUS, 152,94
